PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,WPA,WPA_PLAYS,SEASON,SEASON_TYPE
1631288,J. Cain,MIA,2.14,54,2022-23,Regular Season
202689,K. Walker,DAL,2.05,41,2022-23,Regular Season
1629650,M. Brown,LAC,2.03,94,2022-23,Regular Season
1630556,K. Edwards,BKN,2.01,47,2022-23,Regular Season
203469,C. Zeller,MIA,1.99,61,2022-23,Regular Season
201577,R. Lopez,CLE,1.99,62,2022-23,Regular Season
1631222,J. LaRavia,MEM,1.93,44,2022-23,Regular Season
202397,I. Smith,DEN,1.85,54,2022-23,Regular Season
1631102,T. Washington Jr.,HOU,1.81,68,2022-23,Regular Season
1631230,D. Barlow,SAS,1.8,64,2022-23,Regular Season
1627788,F. Korkmaz,PHI,1.77,74,2022-23,Regular Season
1630219,S. Mays,POR,1.76,46,2022-23,Regular Season
1629677,L. Samanic,UTA,1.67,35,2022-23,Regular Season
1631107,N. Jović,MIA,1.61,46,2022-23,Regular Season
1630548,J. Juzang,UTA,1.56,37,2022-23,Regular Season
1629033,T. Pinson,DAL,1.54,42,2022-23,Regular Season
1631116,P. Baldwin Jr.,GSW,1.53,47,2022-23,Regular Season
1626163,F. Kaminsky,ATL,1.52,45,2022-23,Regular Season
1630561,D. Duke Jr.,BKN,1.52,48,2022-23,Regular Season
1630678,T. Taylor,IND,1.46,45,2022-23,Regular Season
1630184,K. Lewis Jr.,NOP,1.33,59,2022-23,Regular Season
1631254,K. Lofton Jr.,MEM,1.28,65,2022-23,Regular Season
1628371,J. Isaac,ORL,1.27,27,2022-23,Regular Season
1630527,B. Boston,LAC,1.27,80,2022-23,Regular Season
1628464,D. Theis,IND,1.22,26,2022-23,Regular Season
203476,G. Dieng,SAS,1.21,55,2022-23,Regular Season
1630235,T. Forrest,ATL,1.19,27,2022-23,Regular Season
