PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,O_RAPM,D_RAPM,RAPM,POSS,SEASON,SEASON_TYPE
1630164,J. Wiseman,IND,0.03,-0.1,-0.07,22,2024-25,Regular Season
1630541,M. Moody,GSW,-0.14,0.07,-0.07,6859,2024-25,Regular Season
1642280,T. Flowers,LAC,-0.11,0.04,-0.07,109,2024-25,Regular Season
1630222,M. Jones,SAC,0.02,-0.09,-0.07,180,2024-25,Regular Season
1627732,B. Simmons,BKN,0.6,-0.68,-0.08,4558,2024-25,Regular Season
1630695,M. Potter,UTA,-0.4,0.3,-0.1,2978,2024-25,Regular Season
1641752,B. Klintman,DET,0.31,-0.41,-0.1,165,2024-25,Regular Season
1631114,J. Williams,OKC,-0.95,0.85,-0.1,9541,2024-25,Regular Season
1631246,V. Williams Jr.,MEM,1.03,-1.14,-0.11,2175,2024-25,Regular Season
1641715,C. Whitmore,HOU,0.84,-0.95,-0.11,3461,2024-25,Regular Season
200768,K. Lowry,PHI,-1.45,1.33,-0.12,2711,2024-25,Regular Season
1630175,C. Anthony,ORL,-0.32,0.2,-0.12,4990,2024-25,Regular Season
1628981,B. Fernando,TOR,-0.18,0.06,-0.12,601,2024-25,Regular Season
1627777,G. Niang,CLE,1.47,-1.6,-0.13,7219,2024-25,Regular Season
201988,P. Mills,UTA,-0.83,0.7,-0.13,1365,2024-25,Regular Season
1641755,K. McCullar Jr.,NYK,-0.14,0.01,-0.13,120,2024-25,Regular Season
1630604,E. Liddell,CHI,0.7,-0.83,-0.13,228,2024-25,Regular Season
1628379,L. Kennard,MEM,1.82,-1.96,-0.14,6450,2024-25,Regular Season
1630528,J. Christopher,MIA,0.04,-0.18,-0.14,301,2024-25,Regular Season
1630590,S. Pippen Jr.,MEM,-1.49,1.35,-0.14,7395,2024-25,Regular Season
1641775,J. Walsh,BOS,0.09,-0.24,-0.15,1606,2024-25,Regular Season
1631230,D. Barlow,ATL,-0.08,-0.08,-0.16,1613,2024-25,Regular Season
1628408,P. Dozier,MIN,-0.03,-0.13,-0.16,145,2024-25,Regular Season
1641766,A. Sanogo,CHI,0.07,-0.23,-0.16,87,2024-25,Regular Season
1627814,D. Lee,PHX,-0.49,0.32,-0.17,604,2024-25,Regular Season
1630600,I. Mobley,PHI,-0.15,-0.02,-0.17,77,2024-25,Regular Season
1641801,E. Miller,CHI,0.33,-0.5,-0.17,101,2024-25,Regular Season
