PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,G,MIN,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,PCT_LOOSE_BALLS_RECOVERED_OFF,PCT_LOOSE_BALLS_RECOVERED_DEF,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUT_PLAYER_TEAM_REBS,BOX_OUT_PLAYER_REBS,BOX_OUTS,PCT_BOX_OUTS_OFF,PCT_BOX_OUTS_DEF,PCT_BOX_OUTS_TEAM_REB,PCT_BOX_OUTS_REB,SEASON_TYPE
1631222,Jake LaRavia,1610612747,LAL,24.0,48,1309.0,199,109,90,156,1,14,33,12,17,29,0.414,0.586,7,20,25,14,27,0.259,0.741,0.926,0.519,Regular Season
1627751,Jakob Poeltl,1610612761,TOR,30.0,21,531.0,152,114,38,50,1,82,181,5,7,12,0.417,0.583,22,37,57,37,59,0.373,0.627,0.966,0.627,Regular Season
1628973,Jalen Brunson,1610612752,NYK,29.0,44,1514.0,141,54,87,68,13,16,40,11,18,29,0.379,0.621,0,9,9,1,9,0.0,1.0,1.0,0.111,Regular Season
1631105,Jalen Duren,1610612765,DET,22.0,41,1154.0,341,236,105,64,0,109,257,17,17,34,0.5,0.5,43,64,107,78,107,0.402,0.598,1.0,0.729,Regular Season
1630224,Jalen Green,1610612756,PHX,23.0,4,65.0,8,2,6,3,0,0,0,0,1,1,0.0,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0,Regular Season
1630552,Jalen Johnson,1610612737,ATL,24.0,46,1636.0,215,128,87,110,2,37,90,14,12,26,0.538,0.462,2,28,30,19,30,0.067,0.933,1.0,0.633,Regular Season
1629618,Jalen Pickett,1610612743,DEN,26.0,27,614.0,64,34,30,23,0,15,34,4,3,7,0.571,0.429,2,9,11,7,11,0.182,0.818,1.0,0.636,Regular Season
1630188,Jalen Smith,1610612741,CHI,25.0,41,824.0,221,158,63,25,3,54,121,3,10,13,0.231,0.769,19,51,70,49,70,0.271,0.729,1.0,0.7,Regular Season
1630591,Jalen Suggs,1610612753,ORL,24.0,28,730.0,70,43,27,97,4,5,10,13,11,24,0.542,0.458,4,4,8,5,8,0.5,0.5,1.0,0.625,Regular Season
1631114,Jalen Williams,1610612760,OKC,24.0,24,711.0,84,52,32,83,0,9,23,5,9,14,0.357,0.643,0,10,10,5,10,0.0,1.0,1.0,0.5,Regular Season
1630592,Jalen Wilson,1610612751,BKN,25.0,29,454.0,63,35,28,21,0,7,20,3,2,5,0.6,0.4,0,11,10,2,11,0.0,1.0,0.909,0.182,Regular Season
1631288,Jamal Cain,1610612753,ORL,26.0,15,126.0,27,15,12,10,0,0,0,1,0,1,1.0,0.0,1,3,4,1,4,0.25,0.75,1.0,0.25,Regular Season
1627750,Jamal Murray,1610612743,DEN,28.0,45,1596.0,170,90,80,89,1,22,54,12,12,24,0.5,0.5,0,7,7,4,7,0.0,1.0,1.0,0.571,Regular Season
1642347,Jamal Shead,1610612761,TOR,23.0,51,1137.0,100,35,65,110,3,8,19,9,9,18,0.5,0.5,0,8,8,3,8,0.0,1.0,1.0,0.375,Regular Season
1631123,Jamaree Bouyea,1610612756,PHX,26.0,22,354.0,47,28,19,33,0,1,3,3,4,7,0.429,0.571,0,1,1,0,1,0.0,1.0,1.0,0.0,Regular Season
201935,James Harden,1610612746,LAC,36.0,44,1559.0,115,50,65,87,0,3,6,15,19,34,0.441,0.559,0,26,25,15,26,0.0,1.0,0.962,0.577,Regular Season
1630164,James Wiseman,1610612754,IND,24.0,4,58.0,19,13,6,0,0,4,9,1,1,2,0.5,0.5,1,3,4,1,4,0.25,0.75,1.0,0.25,Regular Season
1642364,Jamir Watkins,1610612764,WAS,24.0,22,358.0,76,50,26,57,3,5,12,2,2,4,0.5,0.5,0,9,9,3,9,0.0,1.0,1.0,0.333,Regular Season
1642419,Jamison Battle,1610612761,TOR,24.0,27,275.0,41,29,12,11,1,2,4,3,2,5,0.6,0.4,1,5,6,3,6,0.167,0.833,1.0,0.5,Regular Season
1641716,Jarace Walker,1610612754,IND,22.0,48,1136.0,138,82,56,86,0,12,30,4,10,14,0.286,0.714,1,18,19,8,19,0.053,0.947,1.0,0.421,Regular Season
1642272,Jared McCain,1610612755,PHI,21.0,29,553.0,55,27,28,40,0,8,17,6,6,12,0.5,0.5,0,4,4,3,4,0.0,1.0,1.0,0.75,Regular Season
1628991,Jaren Jackson Jr.,1610612763,MEM,26.0,44,1352.0,410,275,135,99,1,42,104,11,10,21,0.524,0.476,3,32,34,20,35,0.086,0.914,0.971,0.571,Regular Season
1629020,Jarred Vanderbilt,1610612747,LAL,26.0,38,748.0,93,65,28,73,0,32,81,11,12,23,0.478,0.522,7,9,16,13,16,0.438,0.563,1.0,0.813,Regular Season
1628386,Jarrett Allen,1610612739,CLE,27.0,39,1058.0,299,243,56,99,1,105,235,14,15,29,0.483,0.517,12,45,57,36,57,0.211,0.789,1.0,0.632,Regular Season
1642859,Jase Richardson,1610612753,ORL,20.0,22,342.0,42,31,11,14,1,0,0,4,5,9,0.444,0.556,0,3,3,2,3,0.0,1.0,1.0,0.667,Regular Season
1642914,Javon Small,1610612763,MEM,23.0,13,195.0,27,9,18,15,0,1,2,1,2,3,0.333,0.667,0,1,1,1,1,0.0,1.0,1.0,1.0,Regular Season
1631451,Javonte Cooke,1610612757,POR,26.0,9,63.0,4,4,0,7,0,0,0,1,0,1,1.0,0.0,0,1,1,0,1,0.0,1.0,1.0,0.0,Regular Season
1629750,Javonte Green,1610612765,DET,32.0,47,894.0,98,45,53,135,0,9,20,12,22,34,0.353,0.647,3,14,17,10,17,0.176,0.824,1.0,0.588,Regular Season
1629637,Jaxson Hayes,1610612747,LAL,25.0,40,697.0,232,158,74,41,0,88,208,5,4,9,0.556,0.444,9,21,29,18,30,0.3,0.7,0.967,0.6,Regular Season
1630643,Jay Huff,1610612754,IND,28.0,48,955.0,391,302,89,37,0,77,171,10,3,13,0.769,0.231,11,57,65,29,68,0.162,0.838,0.97,0.433,Regular Season
1627759,Jaylen Brown,1610612738,BOS,29.0,45,1543.0,228,91,137,80,1,19,48,25,17,42,0.595,0.405,1,38,39,26,39,0.026,0.974,1.0,0.667,Regular Season
1641740,Jaylen Clark,1610612750,MIN,24.0,46,654.0,111,69,42,70,0,8,20,7,6,13,0.538,0.462,5,3,8,5,8,0.625,0.375,1.0,0.625,Regular Season
1642377,Jaylen Wells,1610612763,MEM,22.0,47,1265.0,163,90,73,75,0,12,27,9,15,24,0.375,0.625,4,9,12,7,13,0.308,0.692,0.923,0.538,Regular Season
1631119,Jaylin Williams,1610612760,OKC,23.0,35,658.0,214,152,62,42,8,38,87,6,7,13,0.462,0.538,2,42,41,25,44,0.045,0.955,0.932,0.568,Regular Season
1642281,Jaylon Tyson,1610612739,CLE,23.0,46,1285.0,221,122,99,82,0,27,64,13,15,28,0.464,0.536,23,10,32,24,33,0.697,0.303,1.0,0.75,Regular Season
201145,Jeff Green,1610612745,HOU,39.0,10,50.0,14,5,9,3,0,2,5,0,0,0,0.0,0.0,0,1,1,0,1,0.0,1.0,1.0,0.0,Regular Season
203924,Jerami Grant,1610612757,POR,31.0,34,984.0,115,64,51,49,0,8,19,13,9,22,0.591,0.409,1,18,19,7,19,0.053,0.947,1.0,0.368,Regular Season
1642847,Jeremiah Fears,1610612740,NOP,19.0,51,1310.0,149,74,75,144,1,5,12,9,14,23,0.391,0.609,4,12,16,7,16,0.25,0.75,1.0,0.438,Regular Season
1630526,Jeremiah Robinson-Earl,1610612742,DAL,25.0,21,357.0,68,38,30,12,0,6,15,6,1,7,0.857,0.143,4,9,13,9,13,0.308,0.692,1.0,0.692,Regular Season
1631110,Jeremy Sochan,1610612759,SAS,22.0,23,335.0,63,51,12,29,0,32,71,6,3,9,0.667,0.333,6,6,12,5,12,0.5,0.5,1.0,0.417,Regular Season
1630579,Jericho Sims,1610612749,MIL,27.0,27,434.0,84,54,30,16,0,40,90,4,5,9,0.444,0.556,17,28,45,33,45,0.378,0.622,1.0,0.733,Regular Season
1641724,Jett Howard,1610612753,ORL,22.0,23,286.0,41,32,9,8,0,2,4,5,5,10,0.5,0.5,1,4,5,4,5,0.2,0.8,1.0,0.8,Regular Season
1628975,Jevon Carter,1610612741,CHI,30.0,18,221.0,33,9,24,27,0,1,3,0,2,2,0.0,1.0,0,3,3,2,3,0.0,1.0,1.0,0.667,Regular Season
